id,name,slug,type,name_with_type,code,parent_code,path,path_with_type
12419,Hưng Thạnh,hung-thanh,xa,Xã Hưng Thạnh,30043,872,"Hưng Thạnh, Tháp Mười, Đồng Tháp","Xã Hưng Thạnh, Huyện Tháp Mười, Tỉnh Đồng Tháp"
12420,Tân Kiều,tan-kieu,xa,Xã Tân Kiều,30049,872,"Tân Kiều, Tháp Mười, Đồng Tháp","Xã Tân Kiều, Huyện Tháp Mười, Tỉnh Đồng Tháp"
12421,Cao Lãnh,cao-lanh,huyen,Huyện Cao Lãnh,873,87,"Cao Lãnh, Đồng Tháp","Huyện Cao Lãnh, Tỉnh Đồng Tháp"
12422,Phương Thịnh,phuong-thinh,xa,Xã Phương Thịnh,30082,873,"Phương Thịnh, Cao Lãnh, Đồng Tháp","Xã Phương Thịnh, Huyện Cao Lãnh, Tỉnh Đồng Tháp"
12423,Phương Trà,phuong-tra,xa,Xã Phương Trà,30094,873,"Phương Trà, Cao Lãnh, Đồng Tháp","Xã Phương Trà, Huyện Cao Lãnh, Tỉnh Đồng Tháp"
12424,Tân Nghĩa,tan-nghia,xa,Xã Tân Nghĩa,30091,873,"Tân Nghĩa, Cao Lãnh, Đồng Tháp","Xã Tân Nghĩa, Huyện Cao Lãnh, Tỉnh Đồng Tháp"
12425,Gáo Giồng,gao-giong,xa,Xã Gáo Giồng,30079,873,"Gáo Giồng, Cao Lãnh, Đồng Tháp","Xã Gáo Giồng, Huyện Cao Lãnh, Tỉnh Đồng Tháp"
12426,Mỹ Hiệp,my-hiep,xa,Xã Mỹ Hiệp,30112,873,"Mỹ Hiệp, Cao Lãnh, Đồng Tháp","Xã Mỹ Hiệp, Huyện Cao Lãnh, Tỉnh Đồng Tháp"
12427,Mỹ Thọ,my-tho,xa,Xã Mỹ Thọ,30100,873,"Mỹ Thọ, Cao Lãnh, Đồng Tháp","Xã Mỹ Thọ, Huyện Cao Lãnh, Tỉnh Đồng Tháp"
12428,Tân Hội Trung,tan-hoi-trung,xa,Xã Tân Hội Trung,30103,873,"Tân Hội Trung, Cao Lãnh, Đồng Tháp","Xã Tân Hội Trung, Huyện Cao Lãnh, Tỉnh Đồng Tháp"
12429,Bình Hàng Tây,binh-hang-tay,xa,Xã Bình Hàng Tây,30124,873,"Bình Hàng Tây, Cao Lãnh, Đồng Tháp","Xã Bình Hàng Tây, Huyện Cao Lãnh, Tỉnh Đồng Tháp"
12430,Nhị Mỹ,nhi-my,xa,Xã Nhị Mỹ,30097,873,"Nhị Mỹ, Cao Lãnh, Đồng Tháp","Xã Nhị Mỹ, Huyện Cao Lãnh, Tỉnh Đồng Tháp"
12431,Ba Sao,ba-sao,xa,Xã Ba Sao,30085,873,"Ba Sao, Cao Lãnh, Đồng Tháp","Xã Ba Sao, Huyện Cao Lãnh, Tỉnh Đồng Tháp"
12432,Phong Mỹ,phong-my,xa,Xã Phong Mỹ,30088,873,"Phong Mỹ, Cao Lãnh, Đồng Tháp","Xã Phong Mỹ, Huyện Cao Lãnh, Tỉnh Đồng Tháp"
12433,Mỹ Xương,my-xuong,xa,Xã Mỹ Xương,30121,873,"Mỹ Xương, Cao Lãnh, Đồng Tháp","Xã Mỹ Xương, Huyện Cao Lãnh, Tỉnh Đồng Tháp"
12434,Mỹ Thọ,my-tho,thi-tran,Thị trấn Mỹ Thọ,30076,873,"Mỹ Thọ, Cao Lãnh, Đồng Tháp","Thị trấn Mỹ Thọ, Huyện Cao Lãnh, Tỉnh Đồng Tháp"
